#---Properties and values from: http://dbpedia.org/resource/Leipzig
Property	Value
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Neo_Rauch
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/2008–09_in_German_football
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Ilke_Wyludda
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Steffen_Radochla
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Marie_Haupt
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Sabina_Schulze
http://dbpedia.org/property/location	http://dbpedia.org/resource/2015–16_1._FC_Nürnberg_season
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Carl_Joachim_Friedrich
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Alexander_Vieweg
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Stefan_Kretzschmar
http://dbpedia.org/property/headquarters	http://dbpedia.org/resource/Edition_Peters
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Sebastian_Krumbiegel
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Wilhelm_Wirth
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Johannes_Popitz
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Wilhelm_Abraham_Teller
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Johann_Heinrich_Ernesti
http://xmlns.com/foaf/0.1/primaryTopic	http://en.wikipedia.org/wiki/Leipzig
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Victor_Gardthausen
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Johann_Christian_Rosenmüller
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Tobias_Michael
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Gottfried_Heinrich_Bach
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Jürgen_Schütze
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Sigrid_Kressmann-Zschach
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Horst_Peter
http://dbpedia.org/property/location	http://dbpedia.org/resource/2005–06_Dynamo_Dresden_season
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Nikolaus_Krell
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Gerhard_Beil
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Nicky_Adler
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Karl_Baedeker_(scientist)
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/Iran_national_football_team_results_(2000–09)
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Johann_August_Ernesti
http://dbpedia.org/ontology/hometown	http://dbpedia.org/resource/Ensemble_Sortisatio
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Hans_Reimann_(writer)
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Sigfrid_Karg-Elert
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Johann_Christian_Friedrich_Tuch
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Joseph_Gabriel_Findel
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Hans_Ehlich
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Rudolf_Lippert
http://dbpedia.org/property/birthPlace	http://dbpedia.org/resource/Rudolf_Lippert
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Bert_Dietz
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Sven_Lodziewski
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Maximilian_Speck_von_Sternburg
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Mordechai_Virshubski
http://dbpedia.org/property/birthPlace	http://dbpedia.org/resource/Mordechai_Virshubski
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Heinrich_Bretthorst
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Tina_Juretzek
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Kristin_Patzwahl
http://dbpedia.org/ontology/wikiPageRedirects	http://dbpedia.org/resource/Lipsia
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Donatien-Marie-Joseph_de_Vimeur,_vicomte_de_Rochambeau
http://dbpedia.org/property/deathPlace	http://dbpedia.org/resource/Donatien-Marie-Joseph_de_Vimeur,_vicomte_de_Rochambeau
http://dbpedia.org/ontology/assembly	http://dbpedia.org/resource/BMW_1_Series_(F20)
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Moritz_Hauptmann
http://dbpedia.org/ontology/city	http://dbpedia.org/resource/2006_DFL-Ligapokal_Final
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/2006_DFL-Ligapokal_Final
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Gert_Ledig
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Paul_Thymich
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Jeanette_Schultze
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Oliver_Koenig
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Georg_Trexler
http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Wolfgang_Prinz
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Sebastian_Knüpfer
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/2013–14_EHF_Women's_Champions_League_group_stages
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Max_Beckmann
http://dbpedia.org/property/borough	http://dbpedia.org/resource/Leipzig-Lindenau_railway_station
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Hubert_Sattler
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Sebastian_Siedler
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Anton_Janson
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Steffen_Bringmann
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Friedrich_Wilhelm_Heine
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Adolf_Stern
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Herbert_Heinrich
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Karl_Mollweide
http://dbpedia.org/ontology/routeEnd	http://dbpedia.org/resource/Bundesautobahn_38
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Hiltrud_Strasser
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Christian_Wilhelm_Braune
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Christian_Wilhelm_Braune
