"EntityType"	"totalSameAs"
"http://dbpedia.org/class/yago/Ability105616246"	148203
"http://dbpedia.org/class/yago/Book106410904"	146434
"http://dbpedia.org/class/yago/Housing103546340"	145486
"http://dbpedia.org/class/yago/MusicalComposition107037465"	144876
"http://dbpedia.org/class/yago/Region108630039"	143120
"http://www.wikidata.org/entity/Q476028"	142980
"http://dbpedia.org/ontology/Mollusca"	142656
"http://dbpedia.org/class/yago/CommissionedMilitaryOfficer109943239"	141964
"http://dbpedia.org/class/yago/State100024720"	140344
"http://dbpedia.org/class/yago/Road104096066"	140052
"http://dbpedia.org/class/yago/Dwelling103259505"	140028
"http://dbpedia.org/class/yago/Game100456199"	139395
"http://dbpedia.org/class/yago/House103544360"	139232
"http://dbpedia.org/class/yago/WikicatBritishPeople"	139149
"http://www.wikidata.org/entity/Q3914"	139148
"http://schema.org/School"	139148
"http://dbpedia.org/class/yago/Song107048000"	138197
"http://dbpedia.org/ontology/Road"	137899
"http://dbpedia.org/ontology/MilitaryUnit"	137621
"http://dbpedia.org/class/yago/Disputant109615465"	137514
"http://umbel.org/umbel/rc/Athlete"	136992
"http://dbpedia.org/class/yago/Reformer110515194"	134703
"http://dbpedia.org/class/yago/Chemical114806838"	134655
"http://www.wikidata.org/entity/Q15265344"	132972
"http://dbpedia.org/class/yago/PlaceOfWorship103953416"	132763
"http://dbpedia.org/ontology/Mountain"	131612
"http://dbpedia.org/ontology/SoccerManager"	131486
"http://dbpedia.org/ontology/MilitaryConflict"	130432
"http://dbpedia.org/class/yago/Land109334396"	130212
"http://schema.org/LandmarksOrHistoricalBuildings"	130092
"http://dbpedia.org/ontology/Fish"	129602
"http://dbpedia.org/class/yago/Compound114818238"	129119
"http://dbpedia.org/ontology/WinterSportPlayer"	129112
"http://dbpedia.org/ontology/Bird"	128938
"http://dbpedia.org/class/yago/WheeledVehicle104576211"	128829
"http://dbpedia.org/class/yago/Insect102159955"	128021
"http://dbpedia.org/class/yago/Team108208560"	127763
"http://dbpedia.org/class/yago/FilmDirector110088200"	127384
"http://dbpedia.org/class/yago/Novelist110363573"	127148
"http://dbpedia.org/class/yago/Statement106722453"	127016
"http://dbpedia.org/class/yago/WikicatAmericanFilms"	126811
"http://dbpedia.org/ontology/FictionalCharacter"	126600
"http://www.wikidata.org/entity/Q152"	126524
"http://dbpedia.org/class/yago/Self-propelledVehicle104170037"	126495
"http://dbpedia.org/class/yago/Noble110271677"	125508
"http://dbpedia.org/class/yago/ChangeOfState100199130"	125185
"http://dbpedia.org/class/yago/Historian110177150"	123324
"http://dbpedia.org/ontology/SportsManager"	122497
"http://www.wikidata.org/entity/Q628099"	122497
"http://www.wikidata.org/entity/Q25326"	122472
"http://dbpedia.org/class/yago/Property105849040"	122428
"http://dbpedia.org/class/yago/Feature105849789"	122335
"http://dbpedia.org/class/yago/Symbol106806469"	122315
"http://dbpedia.org/class/yago/SecondarySchool108284481"	122250
"http://dbpedia.org/ontology/ChemicalSubstance"	121810
"http://dbpedia.org/class/yago/Representation105926676"	121436
"http://dbpedia.org/class/yago/Gathering107975026"	120671
"http://dbpedia.org/class/yago/Occupation100582388"	119430
"http://dbpedia.org/class/yago/BroadcastingStation102903405"	118991
"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject"	118661
"http://dbpedia.org/class/yago/HealthProfessional110165109"	118484
"http://dbpedia.org/class/yago/Trainer110722575"	118272
"http://dbpedia.org/class/yago/LiteraryComposition106364329"	118034
"http://www.wikidata.org/entity/Q7889"	117160
"http://dbpedia.org/class/yago/Ballplayer109835506"	117124
"http://dbpedia.org/class/yago/Image105928118"	116400
"http://dbpedia.org/ontology/Tournament"	116287
"http://dbpedia.org/class/yago/Bishop109857200"	115919
"http://dbpedia.org/ontology/SoccerTournament"	115697
"http://dbpedia.org/class/yago/MusicalOrganization108246613"	115303
"http://dbpedia.org/class/yago/GeneralOfficer110125786"	115006
"http://umbel.org/umbel/rc/PersonWithOccupation"	114812
